CNPJ_ESTAB;NSU_TRANSACAO;DATA_VENDA;VALOR_VENDA;DATA_CREDITO;VALOR_CREDITO
75519538000170;396112;19/05/2025;1586,74;25/05/2025;1547,04
26366433000112;610915;29/03/2025;1498,69;05/04/2025;1490,70
95966243000157;782638;27/10/2025;3479,45;02/11/2025;3453,78
96401704000117;355947;29/07/2025;1910,96;31/07/2025;1905,72
58492663000168;867986;22/02/2025;1705,73;28/02/2025;1657,57
62566705000167;106053;13/09/2025;34,72;15/09/2025;33,64
51701991000150;370269;21/11/2025;3295,18;25/11/2025;3155,83
47549838000156;502102;04/07/2025;2913,02;04/07/2025;2806,76
43942844000161;641135;22/12/2025;168,34;27/12/2025;167,12
63541787000173;615162;22/08/2025;2641,72;24/08/2025;2519,99
61201918000158;489983;06/02/2025;422,37;06/02/2025;418,67
60819523000133;150934;27/12/2025;1760,61;30/12/2025;1734,28
64569433000160;973977;27/10/2025;1492,58;29/10/2025;1489,02
67931813000164;222808;05/06/2025;944,08;08/06/2025;897,15
87067513000135;634388;04/07/2025;27,66;11/07/2025;26,97
42726036000132;615466;18/06/2025;4308,45;22/06/2025;4174,10
64218709000197;247255;12/03/2025;4865,15;12/03/2025;4854,08
27186866000173;797347;22/06/2025;958,76;28/06/2025;953,89
34863348000116;950172;18/02/2025;4596,36;18/02/2025;4380,12
81326909000189;620621;27/12/2025;2188,75;02/01/2026;2154,29
44979438000143;479114;29/04/2025;3089,91;29/04/2025;3048,21
38502094000198;707636;02/04/2025;2214,94;08/04/2025;2180,67
84890332000158;998519;18/10/2025;246,25;24/10/2025;239,96
79535092000113;396477;20/10/2025;1307,75;22/10/2025;1297,77
51676568000156;673374;27/05/2025;3930,93;31/05/2025;3752,37
81586785000173;948592;18/01/2025;4392,69;21/01/2025;4205,10
19595858000172;211361;29/09/2025;1736,36;02/10/2025;1729,02
27415730000169;775980;08/02/2025;1845,42;09/02/2025;1771,01
79999499000118;206620;27/10/2025;617,03;27/10/2025;589,89
46391336000181;972181;16/09/2025;4628,28;20/09/2025;4521,92
22271251000135;438733;04/07/2025;1716,82;08/07/2025;1661,64
37563030000187;604800;05/05/2025;4772,77;05/05/2025;4743,78
12555266000198;365722;11/06/2025;4598,43;17/06/2025;4431,74
90268920000168;450905;06/12/2025;2672,42;08/12/2025;2555,45
68168774000157;773840;12/12/2025;2671,07;16/12/2025;2610,80
82752774000114;224898;11/09/2025;740,01;13/09/2025;719,65
56261639000115;462008;16/11/2025;3357,98;21/11/2025;3354,65
53347674000132;608287;09/09/2025;2434,06;13/09/2025;2313,92
40015362000177;498957;20/07/2025;412,48;22/07/2025;409,73
44895405000185;896667;18/08/2025;4773,92;21/08/2025;4676,61
75525372000110;806815;01/10/2025;3034,65;07/10/2025;2914,36
34217413000131;467316;27/08/2025;4711,72;02/09/2025;4506,56
97116521000125;779033;06/03/2025;772,14;07/03/2025;740,18
51583531000172;722895;04/08/2025;3186,32;05/08/2025;3114,83
63271882000163;220227;03/12/2025;3752,79;06/12/2025;3719,58
74275125000150;685907;06/01/2025;625,41;11/01/2025;624,15
81114081000143;636750;20/06/2025;4014,56;23/06/2025;3896,12
62768299000148;592427;11/02/2025;3076,13;14/02/2025;2972,45
94797588000179;511938;18/04/2025;4800,20;23/04/2025;4651,41
21004505000147;403302;30/12/2025;656,50;06/01/2026;635,24
91259357000167;454719;14/07/2025;3802,12;18/07/2025;3677,26
52057440000171;544966;09/10/2025;4649,45;16/10/2025;4497,42
28330786000165;586435;09/09/2025;3792,77;15/09/2025;3642,20
97773903000121;594086;03/12/2025;2953,36;07/12/2025;2899,03
98740778000180;345658;01/08/2025;1365,08;04/08/2025;1364,01
55182297000138;729136;02/11/2025;327,62;07/11/2025;321,38
66923135000137;529984;11/07/2025;3415,73;14/07/2025;3277,91
68358102000142;884502;23/01/2025;495,08;30/01/2025;478,25
93727907000139;189920;22/08/2025;1497,82;22/08/2025;1428,74
95719519000113;257908;12/05/2025;2665,29;13/05/2025;2552,23
86317569000190;721243;22/02/2025;1188,31;23/02/2025;1167,80
90851628000155;726800;30/10/2025;1956,09;30/10/2025;1933,09
96982301000176;254982;24/11/2025;4392,86;26/11/2025;4205,68
15116455000164;161647;22/05/2025;3352,14;22/05/2025;3198,28
66073173000198;675265;23/10/2025;3282,26;24/10/2025;3140,11
83289109000182;397532;03/01/2025;4395,09;04/01/2025;4256,93
20054098000115;231864;18/06/2025;1201,79;23/06/2025;1200,94
43730616000185;327052;19/06/2025;4002,40;19/06/2025;3881,55
46493255000137;707426;06/12/2025;3264,85;10/12/2025;3261,21
66585137000151;703660;14/12/2025;182,89;19/12/2025;177,40
20386041000136;165375;21/05/2025;448,69;26/05/2025;444,13
96377909000126;723255;29/10/2025;4604,81;01/11/2025;4380,68
69307127000163;442435;23/11/2025;2069,66;25/11/2025;2021,68
52934403000169;880694;26/05/2025;4009,00;01/06/2025;3956,95
29683928000114;992552;20/06/2025;3655,91;27/06/2025;3610,91
26325666000189;326500;16/04/2025;878,75;18/04/2025;858,46
59062452000163;112300;14/07/2025;1230,55;20/07/2025;1217,41
83717546000165;868063;07/01/2025;3280,69;13/01/2025;3118,09
96905556000186;179717;18/10/2025;2199,13;21/10/2025;2114,25
31969764000141;630818;15/03/2025;2530,69;19/03/2025;2490,79
64752287000196;696423;28/05/2025;650,84;02/06/2025;645,59
57360861000199;603625;11/11/2025;1903,63;13/11/2025;1849,65
66769001000154;240539;17/12/2025;2315,11;24/12/2025;2219,04
32305867000197;298445;02/03/2025;4678,63;05/03/2025;4613,76
59007576000155;681256;28/06/2025;2198,55;03/07/2025;2158,00
25798144000179;154544;19/08/2025;3072,55;21/08/2025;3056,57
34668302000164;580018;17/11/2025;3682,65;19/11/2025;3553,51
76696492000181;453387;13/12/2025;30,89;20/12/2025;29,47
55645645000129;845777;25/02/2025;2562,99;25/02/2025;2489,76
71942966000116;579450;11/02/2025;376,09;16/02/2025;371,10
87187521000127;930094;25/02/2025;667,16;26/02/2025;655,42
59176138000197;121292;01/08/2025;1266,61;08/08/2025;1266,46
61408290000182;790318;10/04/2025;4690,48;13/04/2025;4532,72
88226429000147;234411;11/12/2025;1826,60;15/12/2025;1749,50
59255932000187;976401;03/02/2025;1495,65;03/02/2025;1472,61
97661194000181;311655;19/06/2025;1077,95;23/06/2025;1064,47
48674667000125;782731;26/11/2025;3736,91;28/11/2025;3706,55
17749444000146;573804;05/06/2025;3846,00;12/06/2025;3789,80
26866512000118;596887;20/10/2025;2858,83;26/10/2025;2838,47
24044972000142;352384;27/02/2025;3534,50;04/03/2025;3384,28
76480385000112;946676;06/04/2025;4345,03;10/04/2025;4201,58
59458277000174;707959;14/11/2025;2578,53;14/11/2025;2535,20
28004384000127;390715;09/06/2025;3230,62;14/06/2025;3213,39
74968431000149;550719;23/12/2025;4662,88;23/12/2025;4600,61
89237136000180;895110;30/11/2025;4580,83;05/12/2025;4416,35
24157910000171;575987;01/01/2025;1283,47;07/01/2025;1256,15
46122873000170;188165;12/01/2025;2417,33;19/01/2025;2329,56
53556686000188;730303;13/11/2025;974,19;19/11/2025;947,99
69687269000154;985747;15/04/2025;755,14;22/04/2025;752,00
84125673000186;890507;10/09/2025;4906,58;15/09/2025;4731,54
79525185000185;325824;16/11/2025;1828,79;19/11/2025;1738,16
60593079000133;624560;04/07/2025;817,04;10/07/2025;812,43
17239267000179;441730;03/05/2025;727,29;08/05/2025;723,12
90417252000190;530121;19/05/2025;2094,85;21/05/2025;2001,81
84920117000137;825008;08/10/2025;111,27;14/10/2025;108,06
57642236000172;308778;30/07/2025;1978,20;03/08/2025;1950,95
71052810000191;198224;03/11/2025;281,01;06/11/2025;267,73
55166072000154;728465;01/08/2025;2046,42;03/08/2025;1961,77
44202717000123;485969;08/07/2025;1035,86;15/07/2025;1013,99
75294652000193;751180;17/11/2025;2729,58;17/11/2025;2607,91
64969009000152;337291;02/03/2025;301,66;03/03/2025;297,20
32395115000141;945406;23/01/2025;4357,60;29/01/2025;4168,21
66285180000139;289963;22/10/2025;679,72;29/10/2025;659,39
11400298000123;341634;23/04/2025;4814,02;29/04/2025;4670,74
87848625000172;929606;13/11/2025;323,33;17/11/2025;314,46
11178345000175;452721;25/04/2025;234,97;30/04/2025;234,24
59217521000129;230822;10/01/2025;1145,00;13/01/2025;1133,27
33003267000158;117838;26/12/2025;1308,52;28/12/2025;1302,68
62336795000185;984629;31/12/2025;4994,66;31/12/2025;4765,87
28534328000155;916782;14/09/2025;4583,11;21/09/2025;4418,01
35863557000126;578506;04/10/2025;137,05;06/10/2025;131,85
88007407000167;827662;19/08/2025;176,93;23/08/2025;173,39
97553099000135;687937;12/09/2025;4746,89;19/09/2025;4587,95
15926532000153;574369;07/02/2025;2970,31;09/02/2025;2904,27
55797640000148;306938;08/07/2025;3633,76;12/07/2025;3606,03
83619518000180;554993;13/01/2025;4214,59;15/01/2025;4138,57
36458801000197;450261;11/02/2025;3088,57;18/02/2025;2935,40
70390745000110;545676;02/06/2025;1113,92;03/06/2025;1109,28
72287329000150;703725;09/01/2025;3127,45;13/01/2025;2980,90
98826948000157;446501;05/07/2025;1868,28;08/07/2025;1856,17
64544904000128;812984;22/07/2025;957,62;23/07/2025;952,24
82913841000158;372632;20/10/2025;4230,58;24/10/2025;4198,21
81171547000138;808498;18/03/2025;4795,77;25/03/2025;4622,54
37017281000183;426267;11/03/2025;2239,13;17/03/2025;2222,02
54284236000174;736851;30/11/2025;2558,93;05/12/2025;2532,07
36111481000157;894797;11/05/2025;3045,93;16/05/2025;2910,65
74196297000147;854371;13/01/2025;4498,99;13/01/2025;4494,49
35466674000160;484690;21/07/2025;4195,98;28/07/2025;4103,43
17091367000158;840973;21/06/2025;3106,58;25/06/2025;2959,65
79484387000159;783079;24/10/2025;4189,55;25/10/2025;3981,38
97046799000188;383393;30/03/2025;3269,91;03/04/2025;3160,56
58288053000191;988282;26/02/2025;3802,42;28/02/2025;3684,82
77783097000171;715355;14/07/2025;402,66;18/07/2025;393,33
97951829000112;380120;01/01/2025;1552,60;02/01/2025;1525,78
96526655000176;741098;22/11/2025;2755,00;26/11/2025;2722,96
54961345000156;232768;08/04/2025;2030,33;10/04/2025;1937,56
39149629000127;448133;28/09/2025;2683,51;01/10/2025;2642,27
51551174000194;584550;20/07/2025;2139,93;24/07/2025;2040,40
97792720000151;575583;27/01/2025;1725,89;02/02/2025;1712,39
77334725000122;630111;01/09/2025;4758,76;08/09/2025;4715,21
14201131000167;316005;29/12/2025;834,85;04/01/2026;807,15
92094025000116;712582;07/01/2025;4998,76;08/01/2025;4781,24
55644474000198;336835;30/05/2025;1951,45;06/06/2025;1920,32
12895927000122;144231;22/11/2025;3357,91;27/11/2025;3328,65
96056433000164;905563;01/11/2025;4249,57;02/11/2025;4235,86
18253013000192;865163;15/02/2025;2961,23;20/02/2025;2868,67
95837833000127;868322;27/01/2025;3313,62;29/01/2025;3204,83
79115037000183;737531;13/04/2025;3545,76;18/04/2025;3438,72
28637629000113;128732;26/01/2025;175,77;30/01/2025;169,15
25665577000115;287810;17/09/2025;601,73;19/09/2025;596,05
59412514000144;973722;04/09/2025;418,94;06/09/2025;407,05
19426414000140;975324;07/10/2025;1402,81;08/10/2025;1400,42
80212055000130;833721;04/05/2025;3989,65;11/05/2025;3897,38
10519627000152;116981;28/06/2025;43,18;05/07/2025;42,32
73306475000122;125835;15/12/2025;2596,24;22/12/2025;2519,09
36779932000137;405584;03/05/2025;806,30;04/05/2025;772,86
53413095000125;798956;21/02/2025;2023,08;22/02/2025;1971,61
84151055000177;353633;04/02/2025;698,41;05/02/2025;677,32
64541108000158;701656;09/02/2025;3142,32;10/02/2025;3047,23
46558449000125;945769;24/02/2025;3161,40;24/02/2025;3025,90
25502461000143;658126;21/01/2025;1573,56;23/01/2025;1518,69
35451682000196;907727;30/05/2025;2063,54;30/05/2025;2061,75
10779603000143;174888;06/09/2025;1951,52;11/09/2025;1936,52
10482061000123;270233;08/05/2025;2623,59;14/05/2025;2558,13
39325643000171;562921;27/07/2025;2365,89;02/08/2025;2302,54
53222505000119;397295;05/06/2025;4778,76;09/06/2025;4655,46
57020954000166;492740;23/08/2025;339,18;28/08/2025;331,02
49873618000164;361412;29/07/2025;805,65;31/07/2025;803,38
82420248000194;313429;12/02/2025;1704,51;17/02/2025;1664,78
26680466000181;328044;11/01/2025;2941,76;16/01/2025;2865,88
29916948000158;891061;10/04/2025;4986,14;10/04/2025;4806,24
48754611000154;315186;01/10/2025;3608,85;01/10/2025;3601,16
82834449000150;677076;17/11/2025;3630,11;18/11/2025;3504,16
18754966000180;105827;13/10/2025;727,83;18/10/2025;720,30
92063421000144;778765;20/01/2025;2058,99;23/01/2025;1969,13
82586295000144;725263;06/09/2025;88,37;12/09/2025;86,80
35669852000113;884917;15/06/2025;4068,64;21/06/2025;3967,24
66524827000135;776664;02/09/2025;887,77;05/09/2025;869,13
76005669000158;164499;15/11/2025;2259,34;19/11/2025;2163,80
58168951000140;173806;20/06/2025;496,25;20/06/2025;480,29
23404532000171;211929;24/10/2025;4924,49;27/10/2025;4769,58
35592962000160;673670;20/12/2025;838,27;24/12/2025;804,88
59485744000196;229291;31/05/2025;2501,54;01/06/2025;2415,50
64773497000192;346316;27/09/2025;40,99;30/09/2025;40,47
84955175000117;495274;30/07/2025;3375,63;04/08/2025;3280,07
25945314000168;983147;26/04/2025;2879,50;03/05/2025;2836,33
20924470000190;463666;06/11/2025;4314,91;07/11/2025;4200,29
88398899000116;114528;05/01/2025;3969,22;07/01/2025;3886,38
54764577000176;373310;28/12/2025;3630,26;29/12/2025;3580,15
21244346000186;580260;09/02/2025;2382,86;09/02/2025;2304,93
15279900000142;269278;16/03/2025;2322,30;18/03/2025;2252,68
87699045000117;740897;18/10/2025;1315,68;25/10/2025;1255,90
74684661000193;339009;22/12/2025;817,58;29/12/2025;800,68
41877097000167;257488;27/10/2025;3885,82;29/10/2025;3842,30
12748333000185;775208;10/11/2025;4444,86;15/11/2025;4319,55
25983341000199;246315;08/03/2025;3901,38;11/03/2025;3858,43
79325567000153;139293;02/07/2025;31,99;05/07/2025;30,84
43421301000194;547755;18/03/2025;3129,03;20/03/2025;3055,46
79090506000130;566975;12/03/2025;4070,12;17/03/2025;3881,16
84139178000175;531665;11/08/2025;3431,17;18/08/2025;3309,82
33657917000175;778273;09/09/2025;4103,69;16/09/2025;3903,05
72440895000170;977638;01/07/2025;2698,27;08/07/2025;2598,59
69576675000120;113766;14/11/2025;453,27;19/11/2025;434,11
96131551000140;128609;20/12/2025;3344,60;25/12/2025;3282,93
48830145000176;894312;10/02/2025;4409,08;15/02/2025;4280,51
20265385000137;229142;05/01/2025;4589,83;05/01/2025;4542,36
30796770000111;966361;14/11/2025;88,26;20/11/2025;86,33
29933944000181;523543;02/12/2025;1147,21;05/12/2025;1095,72
25956241000171;136490;25/05/2025;3031,44;29/05/2025;2884,67
58265168000173;961051;18/04/2025;4818,29;24/04/2025;4675,84
78167181000128;414835;09/03/2025;3960,93;11/03/2025;3930,25
49968521000144;402940;05/01/2025;1226,49;11/01/2025;1215,31
40618733000177;511608;04/04/2025;3451,22;07/04/2025;3401,44
49012032000118;538388;08/10/2025;3018,84;11/10/2025;2958,43
87985222000139;956340;05/08/2025;2557,07;05/08/2025;2547,91
65403688000153;183146;16/02/2025;3158,80;21/02/2025;3142,70
22166210000193;463523;27/03/2025;268,79;27/03/2025;262,01
20785039000140;825905;06/12/2025;3073,49;13/12/2025;2995,45
86506516000113;738323;27/05/2025;130,54;27/05/2025;128,93
11540770000111;426958;31/05/2025;361,94;31/05/2025;357,25
21297309000129;731376;16/11/2025;1590,54;23/11/2025;1511,04
54715818000134;316117;06/06/2025;1533,01;08/06/2025;1460,46
55058438000121;754471;18/11/2025;3554,45;18/11/2025;3501,13
79222697000167;384294;18/09/2025;1846,28;24/09/2025;1819,58
78001144000198;397447;04/02/2025;3689,00;07/02/2025;3679,28
25299513000157;582178;19/05/2025;1383,63;20/05/2025;1371,91
41559238000166;435370;19/09/2025;4040,59;22/09/2025;3857,45
74311295000199;852781;20/04/2025;1800,19;21/04/2025;1731,65
78861286000171;650577;24/10/2025;4785,30;29/10/2025;4763,33
88289168000167;477895;02/08/2025;2903,96;02/08/2025;2883,58
27051026000121;267629;12/12/2025;1073,44;13/12/2025;1073,38
41282665000131;180257;21/07/2025;1076,99;22/07/2025;1034,02
89546639000111;974028;25/10/2025;2067,04;31/10/2025;2012,34
60743563000165;902352;25/05/2025;3611,82;31/05/2025;3530,50
81600586000168;230563;04/05/2025;3008,06;07/05/2025;2935,69
89169084000124;260830;23/07/2025;3621,85;25/07/2025;3479,70
56887256000158;959328;20/10/2025;3581,48;26/10/2025;3472,69
89600474000127;675299;05/01/2025;3141,41;12/01/2025;3033,92
57924765000146;239958;06/02/2025;3171,81;07/02/2025;3130,62
57987470000189;261119;08/03/2025;1516,53;13/03/2025;1494,37
29298891000145;577271;08/05/2025;2184,14;08/05/2025;2080,63
40821975000125;926747;02/07/2025;1521,33;05/07/2025;1497,74
79444223000124;702076;12/10/2025;1692,32;16/10/2025;1688,04
91460549000133;554937;19/03/2025;2002,95;25/03/2025;1992,45
97132660000146;150848;04/12/2025;3347,38;11/12/2025;3315,52
52221081000156;103343;15/01/2025;2496,95;22/01/2025;2435,66
88337194000126;144194;09/08/2025;1435,13;16/08/2025;1415,50
70553971000115;512482;09/08/2025;750,86;13/08/2025;740,38
18891526000199;631500;10/01/2025;2433,61;10/01/2025;2367,71
86326404000175;352845;29/10/2025;2394,05;01/11/2025;2277,82
52607014000192;183439;14/07/2025;1548,37;20/07/2025;1491,23
39068486000124;711222;23/10/2025;1880,64;25/10/2025;1866,84
39873034000188;312034;04/12/2025;4881,53;10/12/2025;4741,89
72388517000155;791723;09/04/2025;1796,44;16/04/2025;1717,29
77208957000117;494177;03/10/2025;4031,47;08/10/2025;3910,43
52099758000135;324290;24/03/2025;2477,89;27/03/2025;2406,83
98281170000193;600411;19/03/2025;2999,79;25/03/2025;2971,29
66617314000190;586940;21/08/2025;3713,49;23/08/2025;3600,28
62699719000147;951368;07/05/2025;180,64;13/05/2025;178,56
73753598000111;218643;06/07/2025;199,21;10/07/2025;194,97
69372232000166;962356;14/03/2025;2599,91;18/03/2025;2576,32
15865039000167;678226;06/08/2025;3391,86;11/08/2025;3255,01
67491922000151;215904;06/11/2025;1203,85;07/11/2025;1174,99
68455928000116;790031;26/04/2025;2488,51;02/05/2025;2384,29
48333039000143;207001;26/06/2025;741,69;28/06/2025;732,43
88639930000149;564530;10/06/2025;3316,39;15/06/2025;3179,15
79996473000129;526007;31/08/2025;2582,28;31/08/2025;2464,97
51139476000183;760966;02/01/2025;669,45;02/01/2025;636,03
76373439000174;156299;24/10/2025;1376,68;29/10/2025;1345,83
40490343000152;808382;25/11/2025;352,04;28/11/2025;342,22
63237752000152;162242;07/01/2025;1100,65;07/01/2025;1086,57
35264140000161;961426;02/05/2025;4761,55;09/05/2025;4596,76
52899568000128;345830;05/09/2025;696,51;12/09/2025;680,47
13199657000198;815576;28/11/2025;3635,60;02/12/2025;3632,36
29759596000167;547643;27/06/2025;480,78;01/07/2025;476,83
65150063000167;466977;06/02/2025;1454,74;06/02/2025;1420,84
55065685000138;989074;13/09/2025;701,78;17/09/2025;700,63
98740083000139;384929;21/03/2025;1486,92;26/03/2025;1417,39
36753609000141;868357;22/03/2025;1554,09;28/03/2025;1520,21
33563971000144;437585;30/09/2025;27,46;04/10/2025;26,75
46879822000150;876075;26/04/2025;1438,64;01/05/2025;1370,45
75173272000166;394806;11/09/2025;1413,35;18/09/2025;1350,74
19745112000194;805780;02/06/2025;2322,97;05/06/2025;2318,68
67275481000187;810941;09/01/2025;4265,03;12/01/2025;4088,99
85362684000191;118342;09/04/2025;3240,68;16/04/2025;3157,24
90973851000176;559483;29/03/2025;3416,79;01/04/2025;3264,92
58031200000180;483139;26/11/2025;4928,72;29/11/2025;4823,22
23825489000162;292971;21/08/2025;178,39;27/08/2025;174,72
40870494000143;626517;12/04/2025;4152,92;18/04/2025;4073,17
92026168000135;471359;22/09/2025;348,88;26/09/2025;344,36
91242972000115;932294;05/06/2025;504,37;12/06/2025;493,92
48616391000118;718681;17/08/2025;635,09;19/08/2025;630,29
16276842000185;970874;21/09/2025;4133,21;25/09/2025;4072,84
72433276000198;954254;07/09/2025;1429,03;13/09/2025;1419,17
93738326000136;281214;06/03/2025;3935,07;09/03/2025;3925,14
15782712000177;799961;22/08/2025;563,17;25/08/2025;547,38
70997531000197;432309;06/09/2025;990,46;09/09/2025;977,26
23078330000185;638483;30/10/2025;3991,17;30/10/2025;3870,92
18326852000130;113070;10/05/2025;4009,07;14/05/2025;3957,39
84097505000162;754544;13/09/2025;2430,51;20/09/2025;2379,41
86473184000180;396958;01/03/2025;3298,76;06/03/2025;3214,63
51917808000174;545380;11/03/2025;3123,26;14/03/2025;3001,84
76347946000112;731238;21/05/2025;2520,33;26/05/2025;2506,85
24090744000190;253354;26/11/2025;2911,90;03/12/2025;2845,78
78358964000196;213491;08/05/2025;436,67;14/05/2025;415,71
79737162000124;274341;15/10/2025;2733,16;20/10/2025;2728,41
31464239000112;906405;09/01/2025;781,46;10/01/2025;753,14
65417616000111;604717;18/06/2025;3207,44;19/06/2025;3093,49
